OriginalTweet,encoded_sentiment
Two important phone numbers NYers should know If you have no doctor or insurance and think you may be sick and need to be tested for coronavirus call the state s helpline 1 888 364 3065 To report price gouging call the Div of Consumer Protection at 1 800 697 1220,1
Tip for all Pro Wrestlers to help combat the coronavirus be more like and bring hand sanitizer to your matches as a precaution EVEWrestling,0
Is this effective Is it necessary Or is it just optics Scare tactics For the American consumer For US MSM to use If optics What is the intended effect Fear Crash US Market gt panic gt elect Biden Qanon coronavirus,0
IMHO Russia s rug pull on oil prices is designed to end the dollar as the global reserve currency How Corp debt collapse led by high yield and fracking compounded by COVID 19 will mean Fed and US Govt respond with MMT Ciao dollar Alt is collapse Got Gold or Silver yet,0
So not due to Brexit at all then gt gt Supermarkets begin foodrationing after wave of coronavirus fuelled panic buying,2
Remember with all the media deflection stories about bog rolls panic buying food shortages Covid 19 Irish bridges etc etc We ve still got Brexit Austerity poverty a crashing economy amp the worst UK Govt in living memory All depressing stuff amp it aint gonna end well,0
Fellow Uni instructors COVID 19 f2f class cancelations are inconvenient But remember you re salaried employees Maybe call email HR or your union amp demand to know how hourly workers clerical food service custodial etc will be compensated during campus closures,1
It s not even over food what the actual heck I have news for these people you need food and water before you need the paper to wipe your a Just sayin covid19 Covid 19 coronavirus corona virus panic,2
1 25 Part 1 Why does soap work so well on the SARS CoV 2 the coronavirus and indeed most viruses Because it is a self assembled nanoparticle in which the weakest link is the lipid fatty bilayer A two part thread about soap viruses and supramolecular chemistry COVID19,1
Thread Please STOP shaming folks who stock up on food and personal care products ahead of CoronaVirus COVID19 Trump made it clear that he doesn t care and won t help so they re protecting their families their way It s a tiny bit of mastery and control in terrifying times,0
For those thinking seniors disabled amp vets shouldn t be included in any aid package because of Covid 19 coronavirus check prices on antibacterial soaps disinfectant safer transportation other than crowded city busses list goes on,2
So far 36 Pennsylvanians have reached out to my Office to report inflated prices on everything from disinfectant spray to liquid soap Price gouging like this isn t just wrong it s illegal Keep your emails coming pricegouging gov coronavirus,1
Global stock markets continued their bear run as DowJones and S amp P500 plunged as they opened on Monday Plunge was largely on the back of the 30 overnight slump in CrudeOil prices along with the persistent concerns over the impact of CoronaVirus on the global economy,2
Scammers are taking advantage of fears surrounding the Coronavirus Here are some tips to help you keep scammers at bay COVID2019,2
Are you doing business in international markets This webinar will show you how to navigate today s exporting challenges and rising commodity prices due to the COVID 19 virus,2
For those in gig economy who only earn if ppl are going out we can immediately process refunds for 2019 Earned Income Tax Credit or Child Tax Credit or they can borrow against 2020 credits That cash can help make ends meet until normal consumer behavior returns coronavirus,0
I have instructed that insurance companies make COVID 19 testing free This important step will help ensure cost barriers do not stand in the way of people getting tested Read more,0
The oil prices dipping has absolutely nothing to do with COVID2019 it has everything to do with OPEC talks collapsing and Saudi feuding with Russia Celebrate and calm the hell down weirdos,0
Global stocks plummeted today due to fear surrounding COVID2019 and falling oil prices which saw the biggest one day drop since the 1991 Gulf War Let s look at how the major stock indices have been reacting to the news based on their closing values,0
The beginning of a global recession Coronavirus damaging health crisis oil prices falling down US stocks falling down 7 drop this morning amp trading halt migration crisis at the EU borders housingCrisis amp skyrocketing rents Tenants are losing 50 of income Q,0
Some Factors have bought on the recession 1 Ignoring per capita recession 2 wage growth stagnant 3 Consumer debt levels are through the roof 4 casualized work These changes in the economy are driven by government not co,0
Cuomo press conference New York is releasing new brand of state made had sanitizer prices from 0 80 6 a gallon CoronaVirusUpdates Corona CoronavirusOutbreak virus COVID2019 COVID19 NYC,2
Ignore online offers for vaccinations There currently are no vaccines pills potions lotions lozenges or other prescription or over the counter products available to treat or cure Coronavirus disease 2019 COVID 19 online or in stores tips,1
If you are lucky enough to be sitting at home with enough food to get you through a period of self isolation please consider donating to the to help those who couldn t stock up even if they wanted to TrussellTrust foodbanks coronavirus COVID19,0
Americans need to take it upon themselves to help avoid contracting covid 19 Prep to self quarantine for 2 wks Stop unnecessary travel or crowd gatherings Talk to your employer about how to proceed w o harm to your career Plan for sch,0
Separate Table of US Corna Virus Statistics Very high stats of corona virus US Government s Inability to Control Corona Virus High Price Disinfectant Gel in USA High price of mask in USA Food prices are rising day by day,1
ToiletPaper shortage Don t believe everything you see on TV My Costco just now CoronaVirus,1
Come on guys please be like bob COVID2019 panicbuying coronavirus,2
If you have booked a ticket to an event as part of a package holiday you will be offered an alternative or a refund by your travel provider if it has been cancelled due to Coronavirus Check ABTA s consumer Q amp A at COVID19,2
Breaking New Jersey officials urge residents to stock up for a two week coronavirus quarantine Just in case COVID19,2
4 Russia LNG will also suffer The irony is spot LNG prices were already at a record low because of the Coronavirus and the declaration of force majeure by Chinese companies Contracted LNG became the only way to make money until oil prices collapsed It is a big hit,0
BreakingNews terrorists have watched closely as the coronavirus spins its web They now know what Americans value most Wiping their ass Citizens rush to buy toilet paper but neglect to stock up on food Terrorists are holding our toiletpaper factories hostage Film at 11,0
As the novel coronavirus or COVID19 continues to spread worldwide its impact on international business operations supply chains travel commodity prices consumer confidence and business forecasts is becoming increasingly acute BLGPublication,0
Lower Oil prices lower InterestRate and some sort of fiscal stimulus is great but the consumer isn t the problem The problem is fear of coronavirus and fear of being quarantined for 14 days That s why people stopped traveling Not because of interest rates or taxes,0
Consumers have increased their online shopping due to coronavirus retail ecommerce study coronavirus,2
For those self indulging in thoughts of food medicine and essential household goods stock piling Like people on universal credit be stock piling FFS coronavirus,1
Ok if COVID2019 is nothing to panic about why is Italy imposing the biggest restrictions on the civilian population since WW2 How will the supermarkets be able to provide food if all the workers are told to stay at home Same with any other Bussiness,2
Trump said people must be vigilant then concluded Be calm It s really working out And lot of good things are going to happen The consumer is ready The consumer is so powerful in our country with what we ve done with tax cuts and regulation cuts and all of those things,0
The top food items to stock up on in case you are quarantined Coronavirus home stays are on people s minds Here are ten foods for stocking a pantry to support physical and mental health,2
Hi all Please support your local Chinese Restaurant amp order some delicious food from them They are really struggling with the COVID2019 panic many are having to let staff go My favs in Manchester are amp Thank you iwilleatwithyou,2
Report any and all instances of price gouging or other COVID 19 scams to the Attorney General s Consumer Protection Hotline at 800 392 8222 or online at coronavirus,1
Russia by breaking rank from OPEC signalled an intent to take down their nemesis American oil and gas industry USElections2020 COVID2019 OilWar are steeped in markets least favorite thing Uncertainty But THIS TIME they won t succeed Low Oil prices won t last long OOTT,0
80 of Retail experts talk about a significant decrease in store traffic due to coronavirus Check our article,2
Met with members of our distributive trade today to examine their preparation for the impact of Covid 19 Based on reports our key manufacturers and importers have at least 2 to 3 mths of stock We therefore do not expect that there will be any shortage in critical food items,1
Say you need to stock up on food for a couple of weeks here s tips on what to get and how to properly store those perishable items coronavirus,2
My genuine concern around COVID2019 are folks who may have to isolate but work low wage hourly pay jobs folks who are barely getting by who DONT get paid sick days Folks who can t stock up on weeks worth of food Folks who can t NOT work The working poor will suffer most,0
We could have as many as 60 of the world s population infected with the Coronavirus by the end of the year Your prayers are useless only science will come to the rescue If this does happen our world will not recover for years Stock up your can food people doomsdayBunker,1
IMPORTANT UPDATE Our CEO Brian Beaulieu has broadened the scope of his COVID 19 webinar Expect more on the oil prices drop stock market developments retail sales and unfolding situations in China and Italy Learn more and register,2
taking coronavirus COVID19 seriously Stores are adding hours and staff to clean more rigorously stopping food samples bolstering order pick up and drive up encouraging employees to stay home adding more stock and limiting of items in purchases,2
CDC Older folks should stock up on food stay home amid coronavirus Business Insider Wow,2
If 1 000 000 get infected with a 2 death rate for the coronavirus then 20 000 will die in USA If you dont have mo mney to stock up food then find a fishing hole and supplies to hunt and fish,0
Every shop chemist or retailer of any sort who raises prices during coronavirus should be boycotted when it s all over The greed in this country starts with those who ve governed us for almost 100 years FF and FG have made many of us lose our compassion and decency,1
No witch hazel won t help protect you from coronavirus even in a DIY hand sanitizer,0
DonaldTrump with lies or with rumor Never recognized his sense of humor so he sells us his balm just tells us to stay calm And blames it all on the consumer COVID19 Trumpdemic coronavirus,1
THE BALM OF CORONAVIRUS DonaldTrump with lies or with rumor Never recognized his sense of humor so he sells us his balm tells us just to stay calm And blames it all on the consumer COVID19 Trumpdemic coronaviru,1
Q1 earnings are expected to be heavily impacted by coronavirus with steep declines in commodity prices and analysts cutting estimates and analyse the data TrustedData Refinitiv COVID19,1
These are some of the suggestions to slow stop COVID2019 1 Work remotely from home 2 Online school lectures 3 Keep updated on the HSE Dept of Health website 4 Order shopping online for delivery ALL NEED BROADBAND remoteworking broadband rural,1
Retailers gouging consumer on Clorox spray wipes and sanitizers What use to be under 5 is now 29 or more Even if it s available Gee bet they make it all in China sanitizer coronavirus,2
Stay vigilant stay safe As we adapt to COVID 19 know that our office is here for you We can answer questions about scams sick time and fraud Consumer Hotline 617 727 8400 Health Care Hotline 1 888 830 6277 Fair Labor Hotline 617 727 3465,1
Even without the coronavirus suspension or elimination of the payrolltax is the quickest and most sensible means of enhancing consumer liquidity for working Americans especially part time and low wage workers Once again is doing exactly the right thing,1
This is the advice from national US health experts for over 60 s on avoiding coronavirus CDC Americans over 60 should stock up on food and medications and avoid venturing out as the coronavirus spreads UK gov wash your hands amp carry on Covid 19,1
The awful impacts of the Coronavirus are continuing to be felt around the world These events in China are also affecting the UK container industry But what does this mean for you as a consumer looking to buy ShippingContainers Find out more MrBox,1
Wash your hands more often for 20 seconds with soap and water Or use hand sanitiser,2
Coronavirus COVID 19 oil price drop will lead to US recession Business Insider,1
My German colleagues have confirmed that Hamsterk ufe as in how a hamster stuffs its cheeks with food is indeed the German term for panic buying This is the cute news I need today hamsterk ufe COVID2019 covid19ireland Coronavirusireland panicbuyingireland panicbuying,1
The government must provide hand sanitizer in all public buildings and transport hubs as a matter of the utmost urgency The state must penalize any business trying to profit from this crisis by rising prices for essential items like hand sanitizer COVID19ireland COVID2019,0
What You Need If Quarantined at Home Coronavirus Consumer Reports,2
See the new US X T4 and X100V at Roberts Join us on Saturday March 14th at Roberts Downtown location from 10am to 5pm Make sure to stop in and register for a FREE mystery giveaway,0
Spiking prices during a state of emergency is a crime REPORT IT Coronavirus COVID2019,0
Besides canned food and toilet paper KR TGT WMT AMZN COST CVS investing stocks coronavirus covid19 market economy,2
I have summarized the most important points from the paper in this thread,2
My husband asked me today if we should stock up on food and supplies CoronaVirus,2
Missouri AG sues televangelist for advertising Silver Solution as a cure for coronavirus,2
President Trump It will go away Just stay calm It will go away,2
You actually need to stock pile on food first before you can actually use all that toilet paper But you have you eat it before you need to use the toilet Only then will you have the need for toilet paper toiletpaper covid19 coronavirus idiots,2
We are calling on Canadian Federal Government to provide BasicIncome Well being and Stimulus Payments during current COVID 19 situation A basic income even interim could help keep people healthy then revive consumer confidence and spending CdnPoli,0
Solid advice for seniors their family members amp those of who have complexhealth care needs Older Americans should consider stocking up on food medications amp avoid venturing out as coronavirus spreads COVID19Canada CoronavirusCanada bcseniors,2
Local media in Naples reported that Seria A football players Callejon Llorente and Ospinta were among the people queuing outside a supermarket last night to stock up on food during the coronavirus emergency,1
Reminder a State of Emergency is in effect statewide due to Coronavirus Californians are protected from illegal price gouging on housing gas food and other essential supplies,1
Just thinking if we have to close schools how many children may lose access to main source of meals And what will happen to demand at food banks trusselltrust coronavirus foodbanks poverty uk,1
What can you do about COVID2019 don t go out sick wash hands call ahead wear mask to doctor stock up food medicines work from home keep social distances hand sanitizer after surfaces avoid touching,1
As I appear to be absolutely no good at stock piling panic buying food goods and toilet rolls for the coronavirus I m moving on to something I m good at buying Tin whistles and Apple Watch bands Better than toilet rolls,2
Pretty good chance that your waiter waitress grocery department store clerk or Uber Taxi driver doesn t have health insurance or paid sick leave Also a pretty good chance that these people come in contact with COVID19 coronavirus Still think Bernie s radical Good luck,0
I don t understand the run on toilet paper You would think that you d stock up on food first Without food you won t need the toilet paper coronavirus,1
So the govt is trying to boost spending to save the economy but what about the several retail staff I witnessed yesterday in the one store continuously coughing over merchandise And elsewhere bigW eastgardens Coronavirus stimulus auspol,2
We ve been lied to about COVID 19 Find out why you need to stock up on Food amp Water before all cities are quarantined coronavirus chiropractor naturopath stocks gold silver blackpink bts coach trainer librarian twice yibo xiaozhan animalcrossing trucker,1
Metro Manila Lock Down will cause shortage of food supply hoarding of stuffs less fortunate families will not be able to stock up and a lot more Oh Lord we pray for covid 19 to end before everything boils down to worst,1
Hey guysss We have a very important message to all our friends family amp viewers out there Be aware of Corona Virus and follow these procedures to help keep you and your family safe aadyasitara aadya sitara coronav rus coronaaleart covid 19 staysafe sanitizer covid,0
Low gas prices could hurt economy as Toronto drivers take advantage COVID19 COVID2019 CoronaVirusCanada,1
Due to the coronavirus my 80 year old grandma has been going through her cabinets to round up supplies So here I present to you a bottle of hydrogen peroxide that expired in July 2001,2
How the fuck am I safer from coronavirus on a train or at a gas station or at a grocery store or gym than at sxsw or a ballgame or a amusement park Either put guys with gas masks and guns on the streets or let us live our lives,2
One of the BEAUTIFUL things about working at home and having a strictly online small business Covid 19 isn t transmittable through email So keep shopping,0
With all of the public school college and university closures due to coronavirus a lot of food insecure students will go hungry As you stock your pantry consider donating to your local food pantry to help feed a kid CoronaVirusUpdate,2
Venezuela will be Latin America s most affected country by the twin crises of Coronavirus and collapsing oil prices See what s coming,1
The Coronavirus crisis will speed up the technological revolution as schools health services shopping and work will go online at an even faster pace than before See The Robots are Coming,0
The Coronavirus crisis will speed up the technological revolution as schools health services shopping and work will go online at an even faster pace than before See The Robots are Coming Page 234,0
ok so I know people are scared amp stock piling water meds food amp toilet paper but what about cat food like guys my cat is SO picky he only eats the brand should I start buying out all the cAt fOoD coronavirus,2
And what food products should I stock up on Canned meats Have many veggies amp fruit already More noodles amp rice Wish I felt safe about fresh stuff but I don t Maybe more dried fruit What else Coronavirus Stockpile thoughts,2
COVID 19 fallout Are all these ghost flights going to swap cabin payload for cargo payload as self isolated individuals take to online shopping globally as a pastime while waiting for lockdowns to end,1
Avoid the panic and empty shelves at the stores and stock up now with Amazon Pantry items ad coronavirus prepper BePrepared Corona CoronavirusOutbreak Soldout Coronavid19 wuhanvirus CoronavirusUSA COVID19 WuhanCoronavirus toiletpaper,0
While Trump and his admin are worried about the stock market oil companies cruise and hotel industry the people of this nation just want to know they can be tested if they become ill and if they can go to work to earn next month s rent or food for the family coronavirus,1
Shares in Turkish supermarket chain Migros surged as much as 15 today on expectations of stocking up after the nation s first coronavirus case was confirmed,2
Ok so COVID2019 made flights cheap emptied busy tourist destinations in Europe panicked the hell out of the stock markets so now covid19UK when will you lower the house prices,0
Former Supermarket boss says that staff self isolating due to possible CoVID 19 symptoms will affect the abiity of stores to re stock shelves more than panic buying He s right but its not either or its both Plus its also shortage of delivery drivers amp packers too,1
A fight broke out in an Australian supermarket over the toiletpapercrisis which led to police having to intervene A woman asked for just one packet from a second woman with at least four large packets in her cart,0
Please ask the government about food security for coming months in case of crisis due to coronavirus Most of the Canadian r afraid and buying stock for the coming months It s hard to find Lysol wipes hand sanitizers hand soaps,0
Trevor an RD at TCFD shares helpful tips when it comes to stocking up on food during a coronavirus quarantine Stock your pantry as you always do amp aim for your diet to consist of protein fat carbs fruits amp veggies FoodIsMedicine,0
Can you please make sure that in the midst of all the panic buying hoarding and general insanity I have seen in your stores recently that you will save some stock for local food banks who have seen donations fall We are all in this together,1
Coronavirus and food the latest Good piece by I m curious Here s an informal poll for all If you are taking COVID infection precautions amp are stockpiling foods amp other essential supplies right now how many weeks are you planning for,0
Doesn t matter what s going on Martha s on her grind,2
Charities like are scrambling after cancelling big fundraisers due to COVID19seattle Here s how went virtual amp in 4 days raised more than they dreamed Share these tips KOMONews,0
SANITIZER SPECIAL Free squirt of sanitizer with the purchase of an Awesome Donut amp Great cup of Coffee coronavirus CoronaVirusUpdate therightcoffee sanitizer,0
Why Bitcoin price is down COVID2019 scam,2
When the CPTSD therapist recommends that you go out among people to isolate yourself less and the government then advises you to stay at home recommend self isolation and you then consider to not even go out shopping anymore and instead do that online too Coronavirus,2
CancelEverything is tending due to COVID19 coronavirus so it looks like shopping online and reading books is in,2
Interesting to see so many businesses telling employees to work from home out of caution what about those of us who can t What would happen if one of my grocery store coworkers contracted coronavirus Or if an affected customer comes into the store,2
The chemical explanation for why soap amp water is such a kick ass weapon against the coronavirus Soap is almost like a demolition team breaking down a building and taking all the bricks away says chemistry prof Palli Thordarson resnick COVID19,1
Any supermarket petrol station or any place that sells hand sanitizer toilet paper for more than the expected price are greedy assholes Dont do this don t be that guy Covid 19,1
lets hope those that have stock bought toilet roll get the shits amp get forced to stay indoors with their toilet roll amp hardly any food coronavirus cornoravirusuk Corona toiletpapercrisis ToiletPaperPanic ToiletPaperPanic Banter,1
Very smart to stock up on a years supply but you do have to live off canned and perishable food during the plague coronavirus foodsecurity,2
Does everyone really need to stock up on toilet paper and paper towel Two weeks of food I can understand but you don t need a year worth of toilet paper and paper towel It s not like the world is ending coronavirus,1
Fill up the fridge with enough food ready medical supplies water avoid crowd be updated with news dont panic work from home if feasible boost immune system by drinking vitamins and always wash hands Stay safe and healthy COVID2019 metroManilaCovid,0
Officials are saying to stock up on 3 extra days worth of food in prep for the Coronavirus outbreak I saw a woman panick over this because she said that she didn t know what 3 extra days of food looked like speech from Anti Hunger Policy Conference,2
US consumer prices unexpectedly rose in February but are likely to decline in the months ahead as the coronavirus outbreak depresses demand for some goods and services COVID19,0
Ever notice it s the people who could afford to skip a few meals who are stampeding the grocery store to stock up on food coronavirus,2
News of panic buying food from supermarkets is in the headlines this week as the fear of coronavirus grows As we stock up our freezers we look at gas monitoring in Frozen and Dried Food Storage Discover how we play a role in keeping your food fresh,1
Having the extra income to stock up on non perishables and meds etc is a PRIVILEGE If you can afford it please also donate supplies to food banks and FIGHT FOR A SYSTEM THAT DOESN T LEAVE PEOPLE STRUGGLING AND HUNGRY IN A PANDEMIC coronavirus COVID19,1
Going out on a food raid Chos When ur household panic must check supplies BiglangDamingKailangan COVID2019,1
4 CPG and Retail Major retailers in China like Starbucks Uniqlo Nike and Apple had temporarily shuttered their store Sellers on Amazon s marketplace are reportedly struggling to bring goods into the country Coronavirus infects luxury spending at LouisVuitton Ralph Lauren,2
To all the people in the UK who are stock piling bog roll I m pissed and it s ur fault I m running out and had to spend 11 on a pack when I normally pay 2 If u end up quarantined u will be at home w no food surrounded by bog roll coronavirus COVID19 CoronavirusOutbreak,0
Well it s time to stock up on cat food coronavirus quarantine pandemic,2
Oil Prices Head Higher on U S Cut Hopes 11 March 2020 Forex forexsignals forextrading forextrader Corona Covid 19 coronavirus,2
I m getting lots of retail related coronavirus questions at the moment but one I don t really know the answer to from is How should store staff react if someone is coughing and sneezing in the checkout queue Any thoughts instore friends,0
Discover how the coronavirus is affecting the retail industry via Brands,2
Italy is now in full CancelEverything mode Everything is closed except the pharmacy supermarket and post office COVID19 Covid 19 coronavirus coronavirusitalla,2
Canada s response has been exemplary when it comes to containing the spread of the disease says Dr Bruce Aylward leader of WHO s mission to China on COVID 19 You re right It s our turn Social distancing clean hands our jobs Stock the,2
Are the unelected using coronavirus to keep theur asset prices up and steal from us,1
LOOK Panic buying at a supermarket in Makati Manila as the Philippines announces 16 more cases of COVID2019 One shop worker told me queues are twice as long as normal Hand sanitiser and cleaning alcohol is in short supply CoronaVirusUpdate,2
So we have a new housemmate moving into our place tomorrow and I get this text from one of my current housemates and I just like you work in a retail store tho You can easily bring home COVID 19 too,2
Remember that a good diet is key to health Come stock up on fresh food including high vitamin C citrus at our markets coronavirus,0
I demand all food servers to wear gloves when preparing food COVID19 coronavirus CoronavirusUSA WednesdayThoughts,1
Since the coronavirus is now a pandemic I will be online shopping for most of my stuff amp limiting how much I go outside All items purchased from us will be in it s original packaging amp handled w gloves Be safe Be blessed,0
Coronavirus shifts online shopping habits eCommerce,2
Home shopping could double if Coronavirus takes hold in the UK as consumers switch from buying food and household items in stores to online Is your business ready to meet this demand Via,2
Citigroup CEO Michael Corbat This is not a financial crisis The banks and the financial system are in sound shape and we are here to help Live updates,0
Everyone else during COVID 19 I need to stock up on food and water in case I m quarantined Me during COVID 19 They re going to make me work from home and I need to make sure we have no food in the house for me to mindlessly eat dietproblems,2
If retail store and restaurant bathrooms taught me anything the only people that need to wash their hands are the employees that work there coronavirus WashYourHands,2
Guys please stock up while you can I can confirm that grocery stores are starting to run out of non perishable food and cleaning supplies Practice safe measures and also make sure to be polite to retail workers because this is a stressful time for them coronavirus,2
2 A Market Crash was Coming even before coronavirus When prices for these securities fall 10 or 20 the lender has the right to demand additional cash The only way to get that cash is to sell them And in that way selling begets more selling,1
If you dont stock up on toilet paper food and water every flu season then you shouldn t be stocking up for coronavirus,2
Coronavirus L A residents stock up on food cleaning supplies,2
Please please please please please DON T PANIC BUY We have a better chance of overcoming this crisis if we stay calm and cooperate EVERYONE needs soap alcohol etc to stay clean and EVERYONE needs access to food and water to stay healthy COVID2019,0
askCDC Is it necessary to stockpile food toilet paper and other items in response to COVID 19 A recent press conference told older adults to stock up for a period of time How long is the period of time What is the actual metric one week one month etc,2
Losing free food is a blow one employee said I don t personally stock a fridge so it drastically alters my life in that sense and budget on the steep price of coronavirus for some tech workers via,2
Everybody stocking up on toilet paper and I m like WTH I d rather stock up on extra food Without it the other becomes useless coronavirus,0
Sitting here counting my blessings I have a walking trail behind my house I decent gym in my garage A pool and a lovely home If I am shut up for a few weeks or months it will ok That being said Headed to the grocery store to stock up on frozen pizza and IPA coronavirus,0
I was quoted in this piece Dos and don ts of stockpiling 5 must have items by,2
Everyone loves the food at the Cheescake Factory so why does the stock continue to destroy value for shareholders The management need replaced and a new leader needs to streamline the business My view in CAKE dining restaurants coronavirus,2
Anxiety over the coronavirus is driving grocery shoppers online where they re able to purchase the CPG items they need without risking exposure to crowds of people Is this the catalyst that online grocery needed to change deep rooted consumer shopping habits,2
People If you are coughing or feeling sick stay at home Do not go to the grocery store Do not go to work Please This would be over if you just did that COVID19 coronavirus Pandumbic,1
What ever financial relief comes out of DC MUST include consumer financial relief for their utilities Electric Gas Water WhiteHouse COVID2019,0
I m not panicking about coronavirus ask the cashiers at my local smartfoodservice and they ll tell you I ve never needed a reason to stock up on food and not leave the house for weeks at a time The fact that OTHER people are now ALSO doing this is annoying But also wise,0
CORONAVIRUS EFFECT ON BOND PRICES Pandemias tend to increase safe havens demand such as German bonds The opposite effect on Greek bonds prices Corona Coronovirusupdate CoronaVirusUpdate coronavirus economy economics crash market Covid 19 COVID19 bonds Greece Greek,2
It s fucked when you can come up with a solid plan in your store to combat coronavirus better then the higher ups rich owners can I m curious to know what retail stores are doing to keep employees safe I ve seen one coffee shop not take cash anymore and another has,0
Today at the grocery store after the checker had touched all of our stuff we noticed she is in the habit of licking her fingers to count cash I m immunocompromised Please don t do this Just ugh Covid 19 COVID19 coronavirus,1
People at highrisk CDC finally says you should be prepared to shelter in place This means stock up on meds ask doc for 3 6mo supply food water supplies to last keep your distance if it s in your community stay home coronavirus,2
If you still can stock up on dry and canned food and bottled water or a water purifier coronavirus,2
Popped into my local supermarket after work The baskets are noticeably clean There s no hand wash or bog roll not that I needed any did no one wash before Covid 19,2
I m trying not to be paranoid about the coronavirus but I admit I have been binging Prepper videos on YouTube It s probably a wise idea for all of us to stock up on supplies food medicine water booze,0
